0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,Missing
30,47,15,15,9,19,2,2,0,2
0,0,8,1,4,2,0,0,0,1
0,5,24,30,45,41,18,8,0,0
39,46,22,18,16,11,0,0,0,1
0,0,0,0,0,15,17,13,6,2
0,0,13,11,5,3,0,1,0,0
0,0,1,3,3,9,3,2,0,0
0,0,2,1,4,2,0,0,0,0
0,0,0,0,2,5,8,6,0,0
4,10,0,0,1,0,0,0,0,0
0,1,2,4,3,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0
0,0,1,0,2,7,0,0,0,0
4,5,2,0,0,0,0,0,0,0
0,0,0,0,3,4,0,0,0,0
0,0,0,0,2,0,1,0,0,0
3,0,1,2,0,0,0,0,0,0
0,0,0,2,1,0,1,0,0,0
0,2,2,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,2,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
81,118,95,91,101,121,53,33,6,6
